CustomerID,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,Churn
C3,P576,Lucknow,Z733,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,0
C4,P580,Jammu,Z514,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C5,P582,Durg,Z2442,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,0
C7,P576,Kolkata,Z4345,3711.86,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,0
C8,P582,Thane,Z1663,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C10,P576,Shahdol,Z2412,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C12,P576,Mumbai,Z1581,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C13,P576,Gondia,Z2168,3824.74,0,0,0,3824.74,0,1,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C14,P576,Bangalore,Z3062,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C16,P576,Banaskantha,Z1390,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C17,P580,Gautam Buddha Nagar,Z591,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C19,P576,Ahmedabad,Z1329,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C21,P582,Angul,Z4796,3824.74,0,0,0,3824.74,0,1,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C22,P582,Sonbhadra,Z769,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,0
C23,P576,Satna,Z2424,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,0
C25,P576,New Delhi,Z88,2463.67,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C26,P580,Lucknow,Z734,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C28,P576,New Delhi,Z17,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C29,P580,New Delhi,Z89,3734,0,0,0,3824.74,0,1,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C31,P582,Ghaziabad,Z585,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C32,P582,Rajkot,Z1215,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C37,P582,Latur udgir,Z1895,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C41,P582,Dakshina Kannada,Z3258,3824.74,0,0,0,3824.74,0,0,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C43,P289,Gurgaon,Z107,637.52,0,0,0,637.52,0,3,9,0,Delivered,CC106,RC21,RC32,G18,FALSE,FALSE,FALSE,FALSE,1
C49,P582,Jalgaon,Z2055,3824.74,0,0,0,3824.74,0,1,0,0,Delivered,CC105,RC29494,RC31,G13167,FALSE,FALSE,FALSE,FALSE,1
C55,P289,Kolkata,Z4352,637.52,0,0,0,637.52,0,3,9,0,Delivered,CC106,RC27,RC32,G24,FALSE,FALSE,FALSE,FALSE,0
